"Name","Identity"
"","3405431GPH"
" Clearwater Clinic","1148002ANU"
"Bay Southridge Health Center","6918756QUP"
"City Oakridge Medical Center","2904665FPL"
"Community Maplewood Health Center","2403898DPQ"
"East EliteCare Infirmary","5633143MHV"
"Memorial Evergreen ","8862388VYA"
"Memorial Skyline Hospital ","8675419VXH"
"Metro Lumina Medical Center","3689512HDK"
"Metro NovaCare Hospital","3876480HFE"
"Mountain Eastbrook Medical Center","7419523RVK"
"Mountain Veterans Health Center","7389805RJM"
"North Redwood ","4661327KRD"
"Regional Valley Clinic","1932849CAT"
"River Northgate Clinic","6417990PUU"
"Royal Brightview ","9176186WXC"
"Sacred Summit Infirmary",""
"South Bluewater Infirmary","5162094LSX"
"Valley Premier Health Center","6133910OHQ"
"West Meditech Infirmary","5946941NGW"
